company,industry,stage,funds_raised,region,recency,events_deviation,recency_deviation,layoff_events_category,funds_raised_binned
Digimarc,Other,Post-IPO,105.0,North America,0,-0.36986301369863006,-2.0684931506849313,once,small
uShip,Logistics,Series D,69.0,North America,5,-0.19999999999999996,2.0,once,small
Flytedesk,Marketing,Seed,4.0,North America,5,-0.2857142857142858,1.8181818181818183,once,tiny
Fabric,Logistics,Series C,336.0,North America,3,0.8,0.0,twice,medium
Rubius,Healthcare,Post-IPO,445.0,North America,3,-0.26041666666666674,0.40625,once,medium
Talent.com,Recruiting,Series B,150.0,North America,2,-0.47058823529411775,-1.6470588235294117,once,small
Scoop,Transportation,Series C,95.0,North America,5,-0.45833333333333326,2.0555555555555554,once,small
Cogito,Support,Series C,92.0,North America,5,-0.5294117647058822,2.0588235294117645,once,small
BlackLine,Finance,Post-IPO,220.0,North America,2,0.7098765432098766,-1.0061728395061729,twice,medium
Homie,Real Estate,Series B,35.0,North America,3,0.605263157894737,-0.5263157894736841,twice,tiny
Lyft,Transportation,Post-IPO,4900.0,North America,1,3.541666666666667,-1.9444444444444446,four_plus,large
Kayak / OpenTable,Travel,Acquired,229.0,North America,5,-0.43333333333333335,1.2999999999999998,once,medium
Zume,Food,Unknown,423.0,North America,5,-0.3787878787878789,2.090909090909091,once,medium
Sonatype,Security,Acquired,154.0,North America,2,-0.21818181818181825,-0.16363636363636358,once,small
Sojern,Marketing,Series D,162.0,North America,5,-0.2857142857142858,1.8181818181818183,once,small
Coinbase,Crypto,Post-IPO,549.0,North America,3,0.7380952380952381,0.7142857142857144,twice,large
SmartNews,Media,Series F,410.0,Asia,2,-0.4358974358974359,-0.6666666666666665,once,medium
Ginkgo Bioworks,Healthcare,Post-IPO,1600.0,North America,1,-0.26041666666666674,-1.59375,once,large
Twitch,Consumer,Acquired,35.0,North America,1,-0.3833333333333333,-1.4833333333333334,once,tiny
Lemonade,Finance,Post-IPO,481.0,North America,2,-0.2901234567901234,-1.0061728395061729,once,large
Snap,Consumer,Post-IPO,4900.0,North America,3,0.6166666666666667,0.5166666666666666,twice,large
